cuenta,subcuenta,nombre_cuenta,naturaleza,clasificacion
4100,4130,Comisiones por cambio FX,Acreedora,Ingreso
8200,8210,Cuentas de orden - compromisos,Deudora,Memorando
6100,6120,Pérdida esperada,Acreedora,Provisión
4100,4110,Comisiones por apertura,Acreedora,Ingreso
7100,7110,Impuesto diferido,Deudora,Impuesto
4500,4510,Ingreso por asesoría,Acreedora,Ingreso
4100,4140,Ingreso por anualidad,Acreedora,Ingreso
5500,5520,Servicios de seguridad,Deudora,Gasto
5300,5320,Servicios de TI externos,Deudora,Gasto
4200,4210,Spread financiero,Acreedora,Ingreso
8100,8110,Cuentas de orden - garantías,Deudora,Memorando
5100,5110,Gastos de personal,Deudora,Gasto
6200,6210,Reserva técnica seguros,Acreedora,Provisión
5200,5210,Servicios profesionales,Deudora,Gasto
5600,5610,Multas regulatorias,Deudora,Gasto
4400,4410,Rendimiento de inversiones,Acreedora,Ingreso
7100,7120,ISR por pagar,Acreedora,Impuesto
4100,4120,Comisiones por manejo,Acreedora,Ingreso
6300,6310,Provisión regulatoria,Acreedora,Provisión
5100,5120,Nómina y prestaciones,Deudora,Gasto
7300,7310,Resultado de ejercicios anteriores,Acreedora,Capital
5700,5710,Gastos de publicidad,Deudora,Gasto
6100,6110,Reserva crediticia,Acreedora,Provisión
4200,4230,Intereses tarjeta crédito,Acreedora,Ingreso
7200,7210,Participación minoritaria,Acreedora,Capital
4300,4310,Prima cobrada neta,Acreedora,Ingreso
5400,5410,Renta de inmuebles,Deudora,Gasto
4200,4220,Intereses cobrados,Acreedora,Ingreso
5300,5310,Licencias de software,Deudora,Gasto
5500,5510,Mantenimiento y limpieza,Deudora,Gasto
6400,6410,Ajuste de valuación,Acreedora,Provisión
